genes,AURKA,ESPL1,SHCBP1,CEP55,KIF18B,CENPE,CLSPN,IQGAP3,ORC6,UHRF1,BIRC5,CDK1,RAD54L,MYBL2,ASPM,KNL1,DLGAP5,MKI67,FOXM1,FAM64A,PIF1,HJURP,ESCO2,RAD51,BUB1B,GTSE1,PRR11,KIF11,TOP2A,TROAP,TYMS,ASF1B,HMMR,SKA3,KIF15,NCAPG,CDC45,ARHGAP11A,NUSAP1,CDCA8,NUF2,E2F8,BUB1,NDC80,AURKB,PKMYT1,E2F2,SPC24,CENPF,KIF14,UBE2C,DEPDC1B,POLQ,CDCA5,SKA1,TTK,TACC3,RAD51AP1,RRM2,PTTG1,PCLAF,TPX2,PLK1,ZWINT,CCNB2,ANLN,KIF20A,EXO1,KIF4A,DEPDC1,MELK,CENPM,CKAP2L
BIRC5,0.0774547319299313,0.0675491155446341,0.0702178347771863,0.134731613411659,0.17713030230304,0.0641270432718808,0.0788649449399319,0.166768334830842,0.0437412977341113,0.0693134680848443,1.0,0.0709991759070288,0.0472422833938236,0.188010227280857,0.177133749665942,0.156352216991493,0.315084247800484,0.232491916251677,0.184660274383268,0.105576452178341,0.0579196190646706,0.245562123210108,0.19345867924015,0.0971417560408495,0.153553047475096,0.275234064765566,0.0607178878994326,0.161853700753522,0.234322094428988,0.178448341393236,0.127528865580546,0.0989146300584001,0.207200088114386,0.174971773399791,0.065138458623075,0.305015292771807,0.0503444294467431,0.0568365783421996,0.256019704829547,0.0627133051372075,0.0699442936493421,0.11994106302423,0.254370495892654,0.166026923517227,0.0902355586250215,0.15011136267578,0.0695595273096771,0.0972607364216626,0.103873473417465,0.152783384043543,0.195271779657778,0.072222609779594,0.124024523881524,0.218676209325226,0.201178422068345,0.0449172787952946,0.0653800613119266,0.0553315336905704,0.214466607323789,0.0674549477896258,0.166217016634607,0.172700543157933,0.103544648275985,0.0428005530958226,0.0875338168674069,0.165416716181283,0.305531414530744,0.0898050187979045,0.281366176377914,0.158402087852232,0.254958309374275,0.0511338013974034,0.235520118041073
CDK1,0.0357311911028087,0.0512037846726086,0.0274998131371908,0.101583419005653,0.146641427402433,0.0291163652585442,0.0425008892995334,0.143676181953286,0.0348190631840787,0.0445192847609068,0.0709991759070288,1.0,0.0389511844504389,0.156995852632162,0.137007901246866,0.125722160927095,0.251152591701842,0.187202855264069,0.130133491390784,0.0869973910794198,0.0382110152912129,0.203208407034584,0.161739652345863,0.0745979979538959,0.114284822540837,0.210418665088347,0.0327151565050576,0.12090702248466,0.189063156446025,0.144362864090428,0.0936286819616493,0.0727404935930264,0.167841621263636,0.121658291146169,0.0591200390526698,0.250139162389021,0.0419410798021686,0.0213851670857162,0.206113026404289,0.040975819216911,0.0586853060550765,0.102193878175021,0.196057473481021,0.151607040996787,0.0641636336371516,0.122946953238767,0.0333698656694648,0.0489657829090271,0.0803433643581157,0.117312347936951,0.156629340993028,0.0624947917010713,0.100732835184223,0.17163001770385,0.149602387392138,0.0262147991956631,0.0351853527789702,0.0249151137128762,0.173270262502464,0.0352874841959368,0.120652247332631,0.153653304644365,0.0608657048943714,0.029943852567625,0.0671307691249094,0.112576963651355,0.233360543861553,0.0747969773350943,0.216790668476138,0.123789266050236,0.205995460905219,0.0175855485112389,0.18256385553336
RAD54L,0.0289002409872502,0.0650456311745026,0.0309053384175172,0.033058459647625,0.232563796273113,0.0348843790624091,0.0304611733444082,0.189114757307805,0.123343689910257,0.0709072267386639,0.0472422833938236,0.0389511844504389,1.0,0.159491268403872,0.0791144579525938,0.0725874926387739,0.185373616161872,0.110457882582942,0.138908083539285,0.18235704562956,0.0991258147403162,0.233761818944161,0.194381110186685,0.129879365336537,0.123426681352804,0.125307934704647,0.0153968538607111,0.119029934274308,0.250847535137582,0.226511947247115,0.162617865603626,0.10236345400111,0.0876772175816024,0.147890389714124,0.0919583161125851,0.222598079491085,0.149858698492901,0.0351487882999511,0.257074784011349,0.0585947636269743,0.0476005589270563,0.0776553420710111,0.159786290708119,0.0995476685086564,0.0673119832539588,0.137036723874807,0.0386279291618465,0.0423272418223752,0.093089776834767,0.0664552892787069,0.228923808983137,0.0602216357727912,0.126486375213987,0.217192929218458,0.106925725650437,0.0520928405352824,0.0363041187957733,0.0462219562230664,0.102216185823731,0.0376311527313846,0.148428598939814,0.0968050312915432,0.0285244445307128,0.105264208621321,0.0567481202097184,0.0548694851134795,0.175259475108333,0.201498415254361,0.167777374036833,0.125538282912793,0.170644907610609,0.0479775963896209,0.0966909440068727
MYBL2,0.162524504054613,0.183636893955156,0.145709212558113,0.199240125495988,0.233810952622153,0.123362994289156,0.174432081318349,0.245772723880425,0.146949207377792,0.176312534519017,0.188010227280857,0.156995852632162,0.159491268403872,1.0,0.200250085795738,0.201366384174668,0.337066230980326,0.260692890239305,0.19074877057178,0.207032850945302,0.194905070500726,0.307164722350777,0.258444937174988,0.18437630958575,0.190261483496988,0.271545782775306,0.119991141056221,0.189156501315922,0.271630653973835,0.232397202606399,0.184934981489893,0.196139430761601,0.208743992299492,0.19847059413427,0.170479882287939,0.345298539970903,0.162510550061529,0.11635558585439,0.301327824729879,0.142537832766291,0.146416145084085,0.238131375096994,0.260474783056451,0.195202558857251,0.19433400787012,0.213071750080713,0.195451650432311,0.185126472091293,0.164183763696533,0.192033090573375,0.234534711176326,0.21323553053661,0.21119911717365,0.266984741113076,0.218677689703155,0.10999124562799,0.155131770428468,0.141150550117792,0.259019763924594,0.124207599360837,0.216166157664341,0.210829580066594,0.17675929132179,0.131137385837713,0.155212262225244,0.189801650013732,0.295670304365389,0.189818974452605,0.27276412261853,0.195779604715069,0.289310948077276,0.146465254554367,0.212767882734205
ASPM,0.131014635078602,0.146125605325047,0.134083453774831,0.200449930660766,0.195294967440039,0.149357165357859,0.150823282986711,0.185955827569035,0.073146172328952,0.116567753113087,0.177133749665942,0.137007901246866,0.0791144579525938,0.200250085795738,1.0,0.178840207948532,0.352661838396919,0.267090233840606,0.194004297837649,0.126713309614549,0.111483728341988,0.277417666407614,0.207187735933725,0.112483665763322,0.17482318527716,0.309361401454769,0.119014679670387,0.180307443999372,0.261398338428743,0.200999964877436,0.124973063178132,0.118817973505668,0.238182527705435,0.16626972264771,0.114364580949235,0.330260576541277,0.0787241703557169,0.115445026421237,0.28002885669733,0.112147537677489,0.14229653923943,0.177771682318907,0.273058111718369,0.189492963909671,0.152847060430757,0.16450363179626,0.134635869613838,0.181249488645039,0.153759980798791,0.223445104204202,0.202966096990937,0.136925725127728,0.141305590047879,0.223682334273671,0.199948137642799,0.0828510164241392,0.132255241959239,0.0958710625478815,0.230218368280268,0.118976453252234,0.154210879334048,0.188871418370187,0.19178632656809,0.0702177632479221,0.141310490846666,0.218006091950168,0.345825657632255,0.0996206787818337,0.30570924939602,0.168709358968203,0.272752990650672,0.0865492742667304,0.264387823396191
KNL1,0.163124315886016,0.12110470296895,0.123754659666652,0.191615358215945,0.170434585624441,0.11744781674555,0.138390650902622,0.171438059064116,0.0696581959779432,0.102913519142629,0.156352216991493,0.125722160927095,0.0725874926387739,0.201366384174668,0.178840207948532,1.0,0.327398273217862,0.252158345329946,0.170550709221859,0.105407429802534,0.0995903794097425,0.251667375670924,0.19658530528498,0.113014986203376,0.164715417982533,0.282743068839615,0.115211160251764,0.170959627593767,0.229610576707409,0.185535983333708,0.118739578566523,0.114522827524212,0.236247606199878,0.155688416918628,0.114803948348657,0.30727378838374,0.0734734502031924,0.0939847601702833,0.249327434048942,0.108103532305631,0.147622488167296,0.158025344949286,0.280089558356097,0.173372778562196,0.126433499674104,0.172425059135553,0.127539308199678,0.138308320563496,0.12449441490727,0.171861543396862,0.180855689900312,0.147828453577509,0.135585653657952,0.224986362420981,0.198175067576308,0.104345428297771,0.127267421547007,0.111023631550549,0.225100344137897,0.136617523754807,0.151460556992399,0.163400463755437,0.180370268026825,0.0704854058370286,0.146268521555921,0.173913130305599,0.297169479342016,0.0927947518060461,0.265763195884432,0.161141327413612,0.253419513374451,0.0839733245689418,0.228313132592846
DLGAP5,0.254815169952221,0.260225065211637,0.229110578322423,0.340761393717941,0.314804851673237,0.218277651906622,0.266972461509845,0.3364511724971,0.165570557184609,0.231338190816604,0.315084247800484,0.251152591701842,0.185373616161872,0.337066230980326,0.352661838396919,0.327398273217862,1.0,0.36920257574726,0.304119975705116,0.274721739979353,0.245945059904682,0.331247614992637,0.323899981856328,0.23923276719511,0.281877968535534,0.36123380071902,0.199305951376065,0.287860722470399,0.310211438622145,0.28721402754143,0.251574580166721,0.24451659581673,0.346077871637394,0.294342626177907,0.237359459961514,0.352534031054618,0.186902670288952,0.190582122151533,0.322477914131016,0.210264804192763,0.246992042520313,0.334737854496747,0.322317229992013,0.320784874419244,0.283700263338379,0.281291311944102,0.2581571652437,0.299989259211289,0.264791790260263,0.339745562447367,0.321966688489692,0.284329280289151,0.276370787967853,0.292011656547221,0.337726707618092,0.162670863610123,0.238415949197467,0.190170081983143,0.369621755734674,0.217244141640756,0.305911872975136,0.341580824819669,0.312204397002018,0.156437376272313,0.254217699421033,0.347567660684986,0.352929541554105,0.225461570627178,0.346132207257345,0.309167748681824,0.356355381348553,0.180046558279167,0.364682723371961
MKI67,0.222985441872134,0.189533730552556,0.188453139586258,0.302017576306905,0.205648881481527,0.15753690301325,0.228129900921699,0.234250390585586,0.1004661859323,0.156940360212051,0.232491916251677,0.187202855264069,0.110457882582942,0.260692890239305,0.267090233840606,0.252158345329946,0.36920257574726,1.0,0.204915085860218,0.167647327068762,0.165715732865295,0.287021501021625,0.229993994528525,0.155019703490472,0.199584493237435,0.323562168073809,0.190445603364886,0.202937621309433,0.248201213477952,0.201292776467168,0.160549197083949,0.172764862279731,0.273148366487986,0.192543229969316,0.149780225667627,0.348994696401997,0.108809785668547,0.136959414090995,0.278742756602449,0.143039214920176,0.165060574727114,0.258420772557626,0.280352569886963,0.226703176287743,0.19835822754959,0.202249840371969,0.220994530633412,0.228347758743716,0.174011795828143,0.257048595863739,0.208842808033631,0.214168407917399,0.197742259262708,0.239451206488691,0.250818078017359,0.102947620267449,0.188630481594707,0.144134088153967,0.306800644421991,0.146465133541962,0.206469117147274,0.245842703319999,0.270304001379158,0.0953631016754633,0.176774421626388,0.262621447069947,0.329264097311614,0.141323038880454,0.296404787771931,0.203957264499669,0.296760337608901,0.13171065765155,0.276034278317338
FOXM1,0.125131210831447,0.16395383752071,0.128986142127206,0.149939143413264,0.21277987805479,0.126300750949582,0.122781307836505,0.189828977401388,0.12704862281352,0.159783429395595,0.184660274383268,0.130133491390784,0.138908083539285,0.19074877057178,0.194004297837649,0.170550709221859,0.304119975705116,0.204915085860218,1.0,0.17859875856708,0.143386479169494,0.269331335258346,0.211442198854078,0.164462410376271,0.186665952238868,0.242558730283198,0.0860328798715513,0.186975686700146,0.278916546861534,0.224378790623603,0.182610859719163,0.15963464972855,0.184201828039642,0.200290090952308,0.156476828286531,0.304654143379171,0.136441359323551,0.110605406904506,0.28980977353191,0.168663471457101,0.150813446978723,0.166626714863854,0.260988322596823,0.191961590068706,0.17934404343779,0.168389495152328,0.125437796213829,0.155247722125315,0.196793014563954,0.189729238420781,0.22458281424245,0.150586141294572,0.168529784976131,0.248467627187643,0.18941297401723,0.123080557170302,0.122667036561436,0.126360568952629,0.181664924243023,0.130896098149774,0.194372100821595,0.198992425743607,0.151265382805298,0.129053833572396,0.166931292167758,0.190488566985695,0.29992295317058,0.154324269050316,0.279752974015503,0.196651022479434,0.24290719902139,0.118027736399852,0.20323422223166
FAM64A,0.0590738774406843,0.123073945403127,0.062372896447584,0.0688461100149563,0.313113897708373,0.0761315887673159,0.0694759671295573,0.254495424774236,0.151481770024506,0.118425242928954,0.105576452178341,0.0869973910794198,0.18235704562956,0.207032850945302,0.126713309614549,0.105407429802534,0.274721739979353,0.167647327068762,0.17859875856708,1.0,0.174746766028179,0.330495632438349,0.254163925655593,0.144374158300484,0.151462846813063,0.192726096339301,0.0375848431830244,0.152706788030045,0.337552401998448,0.285599230441122,0.177828768728448,0.12373333730975,0.13443515824637,0.188807367441018,0.151223580733912,0.313984337982745,0.18733914112181,0.0761197231541407,0.353603217381726,0.0949918424162925,0.0988250232269855,0.132194482682438,0.214385023770564,0.143387119381737,0.137069678942996,0.17171879198975,0.0806399025159542,0.105033801146758,0.12670854621775,0.104507928763242,0.310953971668027,0.11881323247224,0.152361052233623,0.262224980376376,0.153895824021109,0.0793594169691594,0.0763676898790639,0.0707038966469393,0.152461324515476,0.0777629730424683,0.18731831461956,0.140303079805337,0.0696138987911697,0.127697194659912,0.0930753282192586,0.0990479709544106,0.266088595371316,0.189062049091517,0.243802567388812,0.174800413310848,0.243421955922358,0.0825208793482761,0.15591577369376
