gene,community
C14orf93,BrC4
C16orf58,BrC4
C16orf86,BrC4
C17orf100,BrC4
C17orf75,BrC4
C19orf44,BrC4
C19orf71,BrC4
C1QTNF4,BrC4
C1orf228,BrC4
C1orf35,BrC4
C20orf196,BrC4
C21orf2,BrC4
C21orf59,BrC4
C3orf18,BrC4
C4orf36,BrC4
C5orf38,BrC4
C6orf136,BrC4
C7orf26,BrC4
CA11,BrC4
CAMK2N1,BrC4
CAPN12,BrC4
CAPN8,BrC4
CAPS,BrC4
CARMIL2,BrC4
CARMIL3,BrC4
CASKIN1,BrC4
CBX1,BrC4
CBX4,BrC4
CCDC102A,BrC4
CCDC159,BrC4
CCDC22,BrC4
CCDC28A,BrC4
CCDC61,BrC4
CCER2,BrC4
CCS,BrC4
CDK20,BrC4
CEP85,BrC4
CETN3,BrC4
CFAP20,BrC4
CFAP36,BrC4
CHADL,BrC4
CHDH,BrC4
CHEK2,BrC4
CHMP7,BrC4
CHPF,BrC4
CHST14,BrC4
CHTF18,BrC4
CIRBP,BrC4
CLSTN1,BrC4
CLYBL,BrC4
CNNM3,BrC4
CNTN1,BrC4
COG4,BrC4
COL9A2,BrC4
COPG2,BrC4
COQ10A,BrC4
COQ6,BrC4
COQ8B,BrC4
COX20,BrC4
CPT1B,BrC4
CRABP2,BrC4
CRIP3,BrC4
CSRP1,BrC4
CTD-2132N18.2,BrC4
CTSF,BrC4
CXXC1,BrC4
CXorf56,BrC4
CYB561,BrC4
DAP,BrC4
DAXX,BrC4
DCP1B,BrC4
DDRGK1,BrC4
DDX41,BrC4
DEDD2,BrC4
DENND2D,BrC4
DGCR14,BrC4
DHPS,BrC4
DHRS1,BrC4
DHX58,BrC4
DIRAS1,BrC4
DNAJB2,BrC4
DNAJC17,BrC4
DNAJC4,BrC4
DNTTIP1,BrC4
DOK4,BrC4
DOLPP1,BrC4
DRG2,BrC4
DSN1,BrC4
DTNBP1,BrC4
DTX2,BrC4
DUSP10,BrC4
DUT,BrC4
DVL1,BrC4
DVL2,BrC4
DXO,BrC4
DYRK1B,BrC4
EAPP,BrC4
EARS2,BrC4
EFL1,BrC4
EFS,BrC4
EHMT2,BrC4
EIF2D,BrC4
EMD,BrC4
ENDOV,BrC4
ENTPD8,BrC4
ERCC2,BrC4
EXO5,BrC4
EXOSC3,BrC4
FABP4,BrC4
FAHD2B,BrC4
FAM109A,BrC4
FAM127B,BrC4
FAM136A,BrC4
FAM161B,BrC4
FAM185A,BrC4
FAM213B,BrC4
FAM220A,BrC4
FAM227B,BrC4
FAM24B,BrC4
FAM3A,BrC4
FAM50B,BrC4
FAM86B1,BrC4
FANCF,BrC4
FBXL14,BrC4
FBXO16,BrC4
FBXO2,BrC4
FBXO44,BrC4
FDXR,BrC4
FIZ1,BrC4
FKBP4,BrC4
FKBP8,BrC4
FN3K,BrC4
FN3KRP,BrC4
FOXH1,BrC4
FOXO6,BrC4
FOXP3,BrC4
FOXRED1,BrC4
FUK,BrC4
FUZ,BrC4
FZD1,BrC4
FZR1,BrC4
GAA,BrC4
GAS8,BrC4
GBA,BrC4
GDF9,BrC4
GDPD1,BrC4
GFER,BrC4
GHDC,BrC4
GLS2,BrC4
GLTP,BrC4
GMPPA,BrC4
GMPPB,BrC4
GMPR2,BrC4
GNB1L,BrC4
GNPTG,BrC4
GOLPH3L,BrC4
GPANK1,BrC4
GPATCH3,BrC4
GPR108,BrC4
GRIK5,BrC4
GSS,BrC4
GSTA4,BrC4
GTF2B,BrC4
GTF2F2,BrC4
GTF2IRD1,BrC4
GUCY2D,BrC4
H1F0,BrC4
HAUS4,BrC4
HDAC11,BrC4
HDAC3,BrC4
HDAC5,BrC4
HESX1,BrC4
HEXIM2,BrC4
HINFP,BrC4
HIRIP3,BrC4
HKR1,BrC4
HMGN2,BrC4
HMGN3,BrC4
HNRNPC,BrC4
HOXB2,BrC4
HSF4,BrC4
IFT140,BrC4
IGFALS,BrC4
ILKAP,BrC4
IMMP2L,BrC4
ING4,BrC4
INHA,BrC4
INO80E,BrC4
INTS14,BrC4
INTS9,BrC4
IQCC,BrC4
IQCK,BrC4
IRF2BP1,BrC4
IRF2BP2,BrC4
ISYNA1,BrC4
ITGB3BP,BrC4
IVD,BrC4
KAT5,BrC4
KAT8,BrC4
KCNN1,BrC4
KDELR1,BrC4
KHK,BrC4
KIAA1683,BrC4
KIF22,BrC4
KIFC2,BrC4
KLC4,BrC4
KLHDC2,BrC4
KLHDC9,BrC4
KLHL32,BrC4
KPTN,BrC4
KYAT1,BrC4
LAYN,BrC4
LDLRAP1,BrC4
LDOC1,BrC4
LEKR1,BrC4
LENG1,BrC4
LINC00959,BrC4
LMNTD2,BrC4
LRPAP1,BrC4
LRRC14,BrC4
LRRC27,BrC4
LRRC37A3,BrC4
LRRC43,BrC4
LRRC45,BrC4
LRRC61,BrC4
LRRC75B,BrC4
LRRC8D,BrC4
LRTOMT,BrC4
LTA4H,BrC4
LYPD6,BrC4
LYRM9,BrC4
MAD1L1,BrC4
MAGEE1,BrC4
MAN1B1,BrC4
MARCKS,BrC4
MBOAT7,BrC4
MCM4,BrC4
MDH1B,BrC4
MED16,BrC4
MED20,BrC4
MED25,BrC4
MED29,BrC4
MED9,BrC4
MEF2B,BrC4
MEIS3,BrC4
METTL18,BrC4
METTL3,BrC4
MEX3D,BrC4
MIEF2,BrC4
MINDY1,BrC4
MIPEP,BrC4
MIS18A,BrC4
MISP3,BrC4
MITD1,BrC4
MLF2,BrC4
MLH1,BrC4
MLLT3,BrC4
MOK,BrC4
MORN1,BrC4
MORN4,BrC4
MPP2,BrC4
MPPE1,BrC4
MRI1,BrC4
MRM1,BrC4
MRPL49,BrC4
MRPS2,BrC4
MRPS26,BrC4
MST1,BrC4
MTA3,BrC4
MTFR1L,BrC4
MTG1,BrC4
MUS81,BrC4
MUTYH,BrC4
MYPOP,BrC4
NAIF1,BrC4
NAP1L2,BrC4
NAPSA,BrC4
NARS2,BrC4
NAXD,BrC4
NBPF1,BrC4
NBPF3,BrC4
NDRG3,BrC4
NDUFA10,BrC4
NDUFV1,BrC4
NEIL1,BrC4
NEK11,BrC4
