gene,community
PYGL,BrC8
QDPR,BrC8
RASL10B,BrC8
RASSF4,BrC8
RBP4,BrC8
RCL1,BrC8
RDH5,BrC8
RETSAT,BrC8
RGS3,BrC8
RHOQ,BrC8
RIDA,BrC8
RMDN3,BrC8
RNF157,BrC8
RNPEPL1,BrC8
ROCK2,BrC8
RRAGC,BrC8
RTN3,BrC8
RTN4,BrC8
RXRA,BrC8
S100B,BrC8
SAR1A,BrC8
SCD,BrC8
SCRN2,BrC8
SEPT11,BrC8
SGCG,BrC8
SGK2,BrC8
SH3GLB1,BrC8
SH3KBP1,BrC8
SHMT1,BrC8
SIK2,BrC8
SIX1,BrC8
SLC16A7,BrC8
SLC19A3,BrC8
SLC1A3,BrC8
SLC25A1,BrC8
SLC25A10,BrC8
SLC25A16,BrC8
SLC25A20,BrC8
SLC25A51,BrC8
SLC29A4,BrC8
SLC2A4,BrC8
SLC35C1,BrC8
SLC4A4,BrC8
SLC6A8,BrC8
SLC7A10,BrC8
SLC7A6,BrC8
SMIM3,BrC8
SNN,BrC8
SNTA1,BrC8
SNX8,BrC8
SORBS1,BrC8
SORT1,BrC8
SPON1,BrC8
SSC4D,BrC8
ST6GALNAC6,BrC8
STAT5A,BrC8
STBD1,BrC8
STK39,BrC8
STON1,BrC8
STOX1,BrC8
STRADB,BrC8
SUCLG1,BrC8
SYNE3,BrC8
TALDO1,BrC8
TBC1D16,BrC8
TEAD1,BrC8
TENM3,BrC8
TESK1,BrC8
TFE3,BrC8
TIMP4,BrC8
TJP2,BrC8
TKT,BrC8
TLCD2,BrC8
TLN2,BrC8
TM7SF2,BrC8
TMBIM1,BrC8
TMEM120A,BrC8
TMEM132C,BrC8
TMEM164,BrC8
TMEM53,BrC8
TNFAIP8,BrC8
TNIP1,BrC8
TP53I13,BrC8
TRHDE,BrC8
TRIM61,BrC8
TSKU,BrC8
TSPAN3,BrC8
TSPO,BrC8
TST,BrC8
TTC38,BrC8
TUBB6,BrC8
TUSC5,BrC8
TYRO3,BrC8
UGP2,BrC8
VEGFB,BrC8
VKORC1L1,BrC8
VTI1B,BrC8
WASF3,BrC8
WSB2,BrC8
YWHAG,BrC8
ZBED3,BrC8
ZDHHC18,BrC8
ZDHHC3,BrC8
AAGAB,BrC12
ABAT,BrC12
ABCC8,BrC12
ABCD3,BrC12
ACADSB,BrC12
ADAMTS17,BrC12
AFF3,BrC12
AK7,BrC12
AKR7L,BrC12
ALCAM,BrC12
ALOX15B,BrC12
AMFR,BrC12
AMMECR1,BrC12
ANKDD1B,BrC12
ANKRD30A,BrC12
ANKRD30B,BrC12
ANKS1B,BrC12
APLP2,BrC12
AQP11,BrC12
AR,BrC12
ARFGEF3,BrC12
ARHGAP40,BrC12
ARMT1,BrC12
ARSG,BrC12
ASB13,BrC12
ATAD2,BrC12
ATG16L1,BrC12
ATP2C2,BrC12
ATP7A,BrC12
BCAS1,BrC12
BEND7,BrC12
BMP2K,BrC12
BRI3BP,BrC12
C16orf70,BrC12
C19orf18,BrC12
C1orf21,BrC12
C2orf72,BrC12
C3orf52,BrC12
CA14,BrC12
CA8,BrC12
CACNA1D,BrC12
CACNG4,BrC12
CAPN9,BrC12
CASZ1,BrC12
CBLL1,BrC12
CBWD3,BrC12
CBWD5,BrC12
CBWD7,BrC12
CBX3,BrC12
CCDC125,BrC12
CCDC149,BrC12
CCDC170,BrC12
CCDC183,BrC12
CCDC88C,BrC12
CDC14A,BrC12
CDK5RAP2,BrC12
CECR2,BrC12
CELSR1,BrC12
CHAD,BrC12
CLCNKA,BrC12
CMTR2,BrC12
CNTD1,BrC12
CROT,BrC12
CTNND2,BrC12
CUX2,BrC12
CXXC4,BrC12
CXorf40B,BrC12
CYSRT1,BrC12
DGKD,BrC12
DHCR24,BrC12
DHRS2,BrC12
DLGAP1,BrC12
DNAH14,BrC12
DNAH5,BrC12
DNAI1,BrC12
DNALI1,BrC12
DNMT3B,BrC12
DUSP16,BrC12
DUSP4,BrC12
EFCC1,BrC12
EFHD1,BrC12
EIF2AK1,BrC12
ELOVL2,BrC12
ENTPD5,BrC12
ERBB4,BrC12
ERI2,BrC12
ERICH3,BrC12
ERMP1,BrC12
ERP27,BrC12
ESR1,BrC12
FAM129A,BrC12
FAM196A,BrC12
FAM221B,BrC12
FAM234B,BrC12
FAM47E,BrC12
FDXACB1,BrC12
FER1L5,BrC12
FGFR3,BrC12
FGFR4,BrC12
FLNB,BrC12
FMO5,BrC12
FOXA1,BrC12
FSIP1,BrC12
FSTL4,BrC12
GALNT6,BrC12
GALNT7,BrC12
GALNTL6,BrC12
GBAS,BrC12
GCSAM,BrC12
GFRA1,BrC12
GLDC,BrC12
GLUD1,BrC12
GOLM1,BrC12
GPR39,BrC12
GREB1,BrC12
GRIK1,BrC12
GRIK4,BrC12
GRIN1,BrC12
HACD3,BrC12
HCAR1,BrC12
HHAT,BrC12
HMGXB3,BrC12
HSDL1,BrC12
ICA1,BrC12
IGDCC3,BrC12
IGSF21,BrC12
INPP4B,BrC12
INPP5J,BrC12
IQCH,BrC12
ITIH6,BrC12
ITPR1,BrC12
JADE3,BrC12
KCNJ11,BrC12
KCTD6,BrC12
KDM4B,BrC12
KIAA0319L,BrC12
KIAA1257,BrC12
KIF12,BrC12
KIF16B,BrC12
KIFC1,BrC12
KLHDC7A,BrC12
LNX2,BrC12
LRBA,BrC12
LRIT3,BrC12
LYPLA1,BrC12
MAGI3,BrC12
MANSC1,BrC12
MAPT,BrC12
MARCH8,BrC12
MBOAT1,BrC12
MBOAT2,BrC12
MCMDC2,BrC12
MEGF9,BrC12
MEI4,BrC12
MICALCL,BrC12
MICB,BrC12
MLPH,BrC12
MPIG6B,BrC12
MPP7,BrC12
MSX2,BrC12
MYB,BrC12
MYBPC1,BrC12
MYRFL,BrC12
NCAM2,BrC12
NCBP2L,BrC12
NEK10,BrC12
NFE2L3,BrC12
NLRP13,BrC12
NPNT,BrC12
NR2E3,BrC12
NRIP3,BrC12
NT5DC1,BrC12
NUCB2,BrC12
NUDT12,BrC12
NXT2,BrC12
OSBPL6,BrC12
PDZK1,BrC12
PGLYRP2,BrC12
PGR,BrC12
PI15,BrC12
PIGX,BrC12
PIP,BrC12
PLA2G12A,BrC12
PLAG1,BrC12
PLEKHD1,BrC12
PON2,BrC12
PPM1H,BrC12
PREX1,BrC12
PRKAA2,BrC12
PRLR,BrC12
PROB1,BrC12
PSD4,BrC12
PTPRJ,BrC12
RAB11FIP4,BrC12
RAB27B,BrC12
RAB3B,BrC12
RAB6C,BrC12
RABEP1,BrC12
RALGPS2,BrC12
RANBP3L,BrC12
RAPH1,BrC12
RASEF,BrC12
REEP5,BrC12
RERG,BrC12
RNF224,BrC12
RPS6KA3,BrC12
RRH,BrC12
RUNDC1,BrC12
RYR2,BrC12
SAXO2,BrC12
SC5D,BrC12
SEC14L2,BrC12
SEC22C,BrC12
SEPT6,BrC12
SGK3,BrC12
SH3BGRL,BrC12
SHISA9,BrC12
SIDT1,BrC12
SIPA1L3,BrC12
SLC1A4,BrC12
SLC25A15,BrC12
SLC2A10,BrC12
SLC34A3,BrC12
SLC38A1,BrC12
SLC38A7,BrC12
SLC44A1,BrC12
SLC4A8,BrC12
SLC52A3,BrC12
SLC9A2,BrC12
SMARCA1,BrC12
SMIM14,BrC12
SNX24,BrC12
SNX25,BrC12
SORD,BrC12
ST8SIA6,BrC12
STARD13,BrC12
STC2,BrC12
STIM2,BrC12
STK32B,BrC12
STMND1,BrC12
SYCP2,BrC12
SYNPO2L,BrC12
SYT17,BrC12
SYT9,BrC12
TBC1D30,BrC12
TBC1D9,BrC12
TBX3,BrC12
TDRD5,BrC12
TESMIN,BrC12
TFAP2B,BrC12
THSD4,BrC12
TINCR,BrC12
TMEM150C,BrC12
TMEM26,BrC12
TMEM45B,BrC12
TMEM62,BrC12
TMEM63C,BrC12
TMEM87B,BrC12
TPD52,BrC12
TPSG1,BrC12
TRIM3,BrC12
TRIM36,BrC12
TSPAN5,BrC12
TTC6,BrC12
TTC8,BrC12
TTLL9,BrC12
UBP1,BrC12
UNC5A,BrC12
VWA8,BrC12
WNK4,BrC12
XK,BrC12
ZKSCAN1,BrC12
ZNF273,BrC12
ZNF350,BrC12
ZNF486,BrC12
ZNF613,BrC12
ZNF652,BrC12
ZNF689,BrC12
ZNF92,BrC12
ZNF99,BrC12
AAR2,BrC21
AGAP1,BrC21
AP5M1,BrC21
ARHGAP35,BrC21
ARIH2,BrC21
ASB1,BrC21
ASB7,BrC21
ASB8,BrC21
ATG13,BrC21
ATG9A,BrC21
BACE1,BrC21
BRCC3,BrC21
C12orf49,BrC21
C6orf89,BrC21
CBX6,BrC21
CHAMP1,BrC21
CHPF2,BrC21
CLCN3,BrC21
CLPX,BrC21
CNOT11,BrC21
COG2,BrC21
CRKL,BrC21
CTDSP2,BrC21
CUL3,BrC21
CYB561D1,BrC21
DCLRE1A,BrC21
DCTN5,BrC21
DDB1,BrC21
DDX52,BrC21
DHX8,BrC21
DNAJC14,BrC21
DSTYK,BrC21
EIF1AD,BrC21
FAF2,BrC21
FAM168A,BrC21
FAM168B,BrC21
FASTKD3,BrC21
FBXL18,BrC21
FBXO25,BrC21
FBXO9,BrC21
GCC1,BrC21
GLG1,BrC21
GOLGA5,BrC21
GOSR1,BrC21
GPN2,BrC21
GPR107,BrC21
GTF3C4,BrC21
HERC2,BrC21
HIF1AN,BrC21
HLCS,BrC21
HNRNPUL2,BrC21
HPS6,BrC21
IP6K1,BrC21
IPO9,BrC21
JRK,BrC21
KCTD18,BrC21
KIAA0100,BrC21
KLHDC10,BrC21
LDOC1L,BrC21
MAVS,BrC21
MBTPS1,BrC21
MIOS,BrC21
MKRN1,BrC21
MOAP1,BrC21
MON1B,BrC21
MTF1,BrC21
MTIF2,BrC21
MTOR,BrC21
NDST1,BrC21
NEU3,BrC21
NF2,BrC21
NFIC,BrC21
NSD1,BrC21
PALB2,BrC21
PCBD2,BrC21
PDPK1,BrC21
PEX26,BrC21
PLAGL2,BrC21
POFUT1,BrC21
POLR2B,BrC21
PPP1R8,BrC21
PRR14L,BrC21
PSMD5,BrC21
RAB43,BrC21
RANBP6,BrC21
RBM15B,BrC21
RGP1,BrC21
RNF26,BrC21
RPTOR,BrC21
SAP30L,BrC21
SBNO1,BrC21
SETD1B,BrC21
SGPL1,BrC21
SLC35E1,BrC21
SLC39A9,BrC21
SMCR8,BrC21
SOCS7,BrC21
SUPT16H,BrC21
TADA2B,BrC21
TBC1D14,BrC21
TFIP11,BrC21
TGFBRAP1,BrC21
TGOLN2,BrC21
THRAP3,BrC21
TMCO3,BrC21
TMEM127,BrC21
TRIM56,BrC21
TSPYL1,BrC21
UBE4B,BrC21
UBN1,BrC21
UNC119B,BrC21
USP22,BrC21
VAPB,BrC21
WASF2,BrC21
WIPI2,BrC21
YY1,BrC21
ZBTB24,BrC21
ZBTB39,BrC21
ZHX3,BrC21
ZKSCAN2,BrC21
ZNF287,BrC21
ZNF629,BrC21
ZNF740,BrC21
ZNF778,BrC21
ZSCAN29,BrC21
AARD,BrC7
ABHD11,BrC7
ABHD17C,BrC7
ACSL3,BrC7
ACTR3C,BrC7
AFAP1L1,BrC7
AGRN,BrC7
AIM1,BrC7
AK5,BrC7
ALDH7A1,BrC7
ALOXE3,BrC7
ANK3,BrC7
ANKK1,BrC7
ANO9,BrC7
AP1G2,BrC7
AP1M2,BrC7
APP,BrC7
ARHGEF19,BrC7
ARHGEF35,BrC7
ARHGEF38,BrC7
ARHGEF5,BrC7
ARSD,BrC7
ARVCF,BrC7
ATAD3C,BrC7
ATAT1,BrC7
ATL1,BrC7
ATP1B1,BrC7
AUTS2,BrC7
B4GALNT3,BrC7
BAIAP2L1,BrC7
BAMBI,BrC7
BARX2,BrC7
BCL11B,BrC7
BCL7A,BrC7
BEX2,BrC7
BICDL1,BrC7
BICDL2,BrC7
BSPRY,BrC7
C10orf35,BrC7
C11orf52,BrC7
C11orf80,BrC7
C15orf62,BrC7
C17orf107,BrC7
C1orf226,BrC7
C1orf74,BrC7
C2CD4D,BrC7
C2orf15,BrC7
C2orf16,BrC7
C6orf132,BrC7
CA13,BrC7
CADM4,BrC7
CAMSAP3,BrC7
CAPN1,BrC7
CBLC,BrC7
CCDC120,BrC7
CCDC160,BrC7
CCDC189,BrC7
CCDC6,BrC7
CCNG2,BrC7
CCNO,BrC7
CD24,BrC7
CD36,BrC7
CD82,BrC7
CDC42BPG,BrC7
CDCP1,BrC7
CDH1,BrC7
CDS1,BrC7
CELSR2,BrC7
CGN,BrC7
CHAF1B,BrC7
CHKA,BrC7
CHMP4C,BrC7
CKMT1A,BrC7
CKMT1B,BrC7
CLDN12,BrC7
CLDN3,BrC7
CLDN4,BrC7
CLDN7,BrC7
CNKSR1,BrC7
CNNM4,BrC7
CRB3,BrC7
CXADR,BrC7
CYP39A1,BrC7
CYTH2,BrC7
D2HGDH,BrC7
DCAKD,BrC7
DCST1,BrC7
DCST2,BrC7
DDR1,BrC7
DEPDC4,BrC7
DLG3,BrC7
DLG5,BrC7
DMKN,BrC7
DSP,BrC7
DST,BrC7
DUOX1,BrC7
DUOXA1,BrC7
EFNA1,BrC7
EFNA3,BrC7
EFNB3,BrC7
ELF3,BrC7
ELL3,BrC7
ELMO3,BrC7
EML2,BrC7
EPAS1,BrC7
EPHA1,BrC7
EPHA10,BrC7
EPPK1,BrC7
EPS8L1,BrC7
EPS8L2,BrC7
ERVMER34-1,BrC7
ESRP1,BrC7
ESRRG,BrC7
ETHE1,BrC7
EVPL,BrC7
EXPH5,BrC7
EZR,BrC7
F11R,BrC7
FAAH2,BrC7
FAM110C,BrC7
FAM160A1,BrC7
FAM189A2,BrC7
FAM222A,BrC7
FAM227A,BrC7
FAM3B,BrC7
FAM46C,BrC7
FAM83B,BrC7
FAM83E,BrC7
FAM83H,BrC7
FAM83H-AS1,BrC7
FAM84A,BrC7
FAXC,BrC7
FBXL16,BrC7
FBXO32,BrC7
FGFR2,BrC7
FGGY,BrC7
FHIT,BrC7
FOXN1,BrC7
FOXP4,BrC7
FRAT2,BrC7
FSCN2,BrC7
FXYD3,BrC7
FZD3,BrC7
GALE,BrC7
GALNT3,BrC7
GCNT2,BrC7
GGT6,BrC7
GLB1L2,BrC7
GPM6B,BrC7
GPR143,BrC7
GPR27,BrC7
GPR87,BrC7
GPRC5C,BrC7
GPRIN2,BrC7
GRAMD1C,BrC7
GRB7,BrC7
GRHL1,BrC7
GRHL2,BrC7
GRHL3,BrC7
GRID2IP,BrC7
GRIP1,BrC7
GSTO2,BrC7
GYPC,BrC7
H2AFY2,BrC7
H3F3B,BrC7
HDHD3,BrC7
HIVEP3,BrC7
HOMER2,BrC7
HOOK1,BrC7
HOXB7,BrC7
HS6ST1,BrC7
HSBP1L1,BrC7
HSPB6,BrC7
IFNLR1,BrC7
IGSF3,BrC7
IGSF9,BrC7
IL11,BrC7
IL1RL2,BrC7
IL34,BrC7
ILDR1,BrC7
IQCG,BrC7
IQGAP2,BrC7
IRF6,BrC7
IRX2,BrC7
IRX4,BrC7
ITGA2,BrC7
ITGB4,BrC7
ITGB6,BrC7
ITGB8,BrC7
JMJD4,BrC7
JUP,BrC7
KCNH8,BrC7
KCNK1,BrC7
KCNS3,BrC7
KCTD1,BrC7
KDF1,BrC7
KIAA0895,BrC7
KIAA1324,BrC7
KIAA1456,BrC7
KIAA1522,BrC7
KLC3,BrC7
KRT18,BrC7
KRT19,BrC7
KRT23,BrC7
KRT7,BrC7
KRT8,BrC7
KRT80,BrC7
KRT86,BrC7
KRTCAP3,BrC7
LAMA3,BrC7
LARGE2,BrC7
LIMK2,BrC7
LIPH,BrC7
LLGL2,BrC7
LMTK3,BrC7
LMX1B,BrC7
LRAT,BrC7
LRP2,BrC7
LRRC8E,BrC7
LSR,BrC7
LY75,BrC7
LYPD6B,BrC7
MACC1,BrC7
MAL2,BrC7
MAP3K9,BrC7
MAP7,BrC7
MAPK13,BrC7
MAPK15,BrC7
MARK2,BrC7
MARVELD2,BrC7
MCTP2,BrC7
MFSD6L,BrC7
MGLL,BrC7
MGME1,BrC7
MGST3,BrC7
MMP24,BrC7
MPZL3,BrC7
MST1R,BrC7
MTHFD2L,BrC7
MYCL,BrC7
MYO5B,BrC7
NAV2,BrC7
NEBL,BrC7
NECTIN4,BrC7
NEDD4L,BrC7
NIPAL3,BrC7
NLRP2,BrC7
NOS1AP,BrC7
NTN4,BrC7
NUP210,BrC7
NUP62CL,BrC7
OAT,BrC7
OBSCN,BrC7
OCLN,BrC7
OR2A7,BrC7
OVOL2,BrC7
PABPC1L,BrC7
PACSIN3,BrC7
PAK6,BrC7
PALMD,BrC7
PANX2,BrC7
PARVB,BrC7
PATJ,BrC7
PDCD4,BrC7
PDE6B,BrC7
PDLIM4,BrC7
PEG10,BrC7
PERP,BrC7
PHLDB3,BrC7
PIK3C2G,BrC7
PIP5KL1,BrC7
PKP3,BrC7
PLA2R1,BrC7
PLEK2,BrC7
PLEKHA6,BrC7
PLEKHH1,BrC7
PLEKHN1,BrC7
PLPP5,BrC7
PLS1,BrC7
PLXNB2,BrC7
PODXL2,BrC7
POF1B,BrC7
POU2F3,BrC7
PPP1R13L,BrC7
PRKCZ,BrC7
PROM2,BrC7
PROSER2,BrC7
PRR15L,BrC7
PRRG2,BrC7
PRRG4,BrC7
PRSS16,BrC7
PRSS22,BrC7
PTK6,BrC7
PTK7,BrC7
PTPRK,BrC7
PTPRZ1,BrC7
QSOX1,BrC7
RAB11FIP1,BrC7
RAB15,BrC7
RAB17,BrC7
RAB25,BrC7
RAB26,BrC7
RAB3IP,BrC7
RAD51B,BrC7
RAI1,BrC7
RAP1GAP,BrC7
RASGEF1A,BrC7
RASSF7,BrC7
RBBP8NL,BrC7
RBM47,BrC7
RCAN3,BrC7
RDH13,BrC7
RHPN2,BrC7
RIC3,BrC7
RIPK4,BrC7
RNF128,BrC7
RNF39,BrC7
RNF43,BrC7
RORC,BrC7
RSPH1,BrC7
RTKN,BrC7
S100A14,BrC7
SAPCD2,BrC7
SBK1,BrC7
SCAMP4,BrC7
SCNN1A,BrC7
SCPEP1,BrC7
SDC4,BrC7
SDR42E1,BrC7
SEC23B,BrC7
SEMA4A,BrC7
SFN,BrC7
SGPP2,BrC7
SH2D3A,BrC7
SH3BGR,BrC7
SH3YL1,BrC7
SHANK2,BrC7
SHROOM3,BrC7
SIX4,BrC7
SKAP1,BrC7
SLC12A8,BrC7
SLC16A11,BrC7
SLC25A29,BrC7
SLC2A11,BrC7
SLC2A12,BrC7
SLC35B2,BrC7
SLC52A1,BrC7
SLC9A1,BrC7
SLC9A7,BrC7
SMIM22,BrC7
SORL1,BrC7
SOWAHB,BrC7
SOX9,BrC7
SPINT1,BrC7
SPINT2,BrC7
SPRYD4,BrC7
SPTBN2,BrC7
SRCIN1,BrC7
SRGAP3,BrC7
ST14,BrC7
ST6GALNAC5,BrC7
STAP2,BrC7
STK26,BrC7
STRBP,BrC7
STXBP2,BrC7
SUSD4,BrC7
SYNE4,BrC7
SYNJ2,BrC7
SYNM,BrC7
SYTL1,BrC7
TACSTD2,BrC7
TC2N,BrC7
TCAF2,BrC7
TES,BrC7
TGM1,BrC7
THEM5,BrC7
TIFA,BrC7
TJP3,BrC7
TMC4,BrC7
TMCO4,BrC7
TMEM106C,BrC7
TMEM139,BrC7
TMEM154,BrC7
TMEM177,BrC7
TMEM229B,BrC7
TMEM238,BrC7
TMEM265,BrC7
TMEM27,BrC7
TMEM30B,BrC7
TMEM40,BrC7
TMEM87A,BrC7
TMPRSS13,BrC7
TNK1,BrC7
TNS4,BrC7
TOM1L1,BrC7
TRAF4,BrC7
TRIM11,BrC7
TRIM17,BrC7
TRIM46,BrC7
TRPV4,BrC7
TRPV6,BrC7
TTC22,BrC7
TTC9,BrC7
TUFT1,BrC7
USP43,BrC7
VANGL2,BrC7
VAV3,BrC7
VWDE,BrC7
WDR31,BrC7
WEE1,BrC7
WFDC2,BrC7
WHRN,BrC7
WIPF3,BrC7
WNT3,BrC7
WWC1,BrC7
XKR6,BrC7
XPC,BrC7
ZBED9,BrC7
ZC2HC1C,BrC7
ZC3H12A,BrC7
ZNF165,BrC7
ZNF185,BrC7
ZNF33B,BrC7
ZNF497,BrC7
ZNF726,BrC7
ZNF750,BrC7
ZNF98,BrC7
ZSWIM4,BrC7
AARS2,BrC2
ABCB9,BrC2
ABCC10,BrC2
ACAD10,BrC2
ACAP3,BrC2
ACIN1,BrC2
ACP6,BrC2
ACTR5,BrC2
ADAM11,BrC2
ADAMTS13,BrC2
ADGRB1,BrC2
ADORA2A,BrC2
AGAP3,BrC2
AGAP4,BrC2
AGER,BrC2
AHDC1,BrC2
AIFM3,BrC2
AKAP17A,BrC2
ALDH18A1,BrC2
ALKBH2,BrC2
AMBRA1,BrC2
AMOT,BrC2
AMPD2,BrC2
AMT,BrC2
ANAPC2,BrC2
ANAPC5,BrC2
ANKLE1,BrC2
ANKMY1,BrC2
ANKRD13A,BrC2
ANKRD13D,BrC2
ANKRD23,BrC2
ANKRD34A,BrC2
ANKRD6,BrC2
ANKZF1,BrC2
AP3B2,BrC2
AP5Z1,BrC2
APBA2,BrC2
APBB3,BrC2
ARAP1,BrC2
ARFGAP1,BrC2
ARHGAP27,BrC2
ARHGAP44,BrC2
ARHGEF10L,BrC2
ARHGEF25,BrC2
ARID3B,BrC2
ARMC9,BrC2
ASB6,BrC2
ASIC1,BrC2
ATAD3B,BrC2
ATG16L2,BrC2
ATG2A,BrC2
ATG4B,BrC2
ATG7,BrC2
ATN1,BrC2
ATP13A1,BrC2
ATP6V0A1,BrC2
ATXN2L,BrC2
ATXN7L2,BrC2
AXIN1,BrC2
B3GNT9,BrC2
BAG6,BrC2
BBS5,BrC2
BEST4,BrC2
BMP8A,BrC2
BOC,BrC2
BRD2,BrC2
BRD8,BrC2
BRF1,BrC2
BRICD5,BrC2
BSDC1,BrC2
BTN2A2,BrC2
C11orf84,BrC2
C12orf65,BrC2
C14orf159,BrC2
C15orf57,BrC2
C17orf67,BrC2
C19orf54,BrC2
C19orf66,BrC2
C19orf68,BrC2
C1QTNF6,BrC2
C1orf159,BrC2
C1orf174,BrC2
C20orf203,BrC2
C21orf58,BrC2
C2CD2L,BrC2
C7orf43,BrC2
CABIN1,BrC2
CABLES2,BrC2
CACNA1C,BrC2
CACNB3,BrC2
CACTIN,BrC2
CAD,BrC2
CALCOCO1,BrC2
CAMKMT,BrC2
CAMTA2,BrC2
CAPN10,BrC2
CARM1,BrC2
CARS2,BrC2
CASP9,BrC2
CC2D1A,BrC2
CCAR2,BrC2
CCDC130,BrC2
CCDC134,BrC2
CCDC137,BrC2
CCDC142,BrC2
CCDC154,BrC2
CCDC180,BrC2
CCDC28B,BrC2
CCDC34,BrC2
CCDC57,BrC2
CCDC9,BrC2
CCDC97,BrC2
CCHCR1,BrC2
CCL27,BrC2
CCNL2,BrC2
CD101,BrC2
CDAN1,BrC2
CDC42SE1,BrC2
CDCA7,BrC2
CDK10,BrC2
CDK18,BrC2
CDK3,BrC2
CDK5RAP1,BrC2
CDK5RAP3,BrC2
CDK9,BrC2
CDRT4,BrC2
CELSR3,BrC2
CENPT,BrC2
CEP131,BrC2
CEP164,BrC2
CEP250,BrC2
CEP89,BrC2
CFAP157,BrC2
CFAP46,BrC2
CHAF1A,BrC2
CHD3,BrC2
CHERP,BrC2
CHKB,BrC2
CHST5,BrC2
CIC,BrC2
CIZ1,BrC2
CLASRP,BrC2
CLCN2,BrC2
CLCN7,BrC2
CLIP3,BrC2
CLK2,BrC2
CLK3,BrC2
CMTM4,BrC2
CMTR1,BrC2
CNN2,BrC2
CNNM1,BrC2
CNOT3,BrC2
CNTROB,BrC2
COL16A1,BrC2
COL4A5,BrC2
COL4A6,BrC2
COL7A1,BrC2
COLCA2,BrC2
COPS7B,BrC2
CPNE1,BrC2
CPSF1,BrC2
CRACR2A,BrC2
CRMP1,BrC2
CROCC,BrC2
CRTC2,BrC2
CSK,BrC2
CSNK1D,BrC2
CSNK1E,BrC2
CSNK1G2,BrC2
CSTF3,BrC2
CTB-50L17.10,BrC2
CTBP1,BrC2
CTC1,BrC2
CTTN,BrC2
CUL7,BrC2
CUL9,BrC2
CYB5D1,BrC2
CYB5R2,BrC2
CYP2D6,BrC2
CYP2D7,BrC2
DAGLB,BrC2
DBF4B,BrC2
DCAF15,BrC2
DCDC2B,BrC2
DDB2,BrC2
DDTL,BrC2
DDX23,BrC2
DDX27,BrC2
DDX31,BrC2
DDX39B,BrC2
DDX51,BrC2
DDX54,BrC2
DDX56,BrC2
DEF6,BrC2
DEF8,BrC2
DENND6B,BrC2
DEPDC5,BrC2
DFNB59,BrC2
DGKA,BrC2
DGKQ,BrC2
DHX16,BrC2
DHX30,BrC2
DHX34,BrC2
DLG4,BrC2
DMAP1,BrC2
DMWD,BrC2
DNAAF5,BrC2
DNAH12,BrC2
DNAJA3,BrC2
DNAJC9,BrC2
DNASE1,BrC2
DNM2,BrC2
DNMT1,BrC2
DNMT3A,BrC2
DOC2A,BrC2
DPAGT1,BrC2
DPH1,BrC2
DPH7,BrC2
DRICH1,BrC2
DTX3,BrC2
DUS1L,BrC2
DUS3L,BrC2
DZANK1,BrC2
EDC4,BrC2
EFTUD2,BrC2
EGFL8,BrC2
EIF2B4,BrC2
EIF2B5,BrC2
ENGASE,BrC2
EPS15L1,BrC2
ERCC3,BrC2
ETV6,BrC2
EVL,BrC2
EWSR1,BrC2
EXD3,BrC2
EXOC3,BrC2
EXOSC2,BrC2
FAAP100,BrC2
FAHD2A,BrC2
FAM160A2,BrC2
FAM160B2,BrC2
FAM192A,BrC2
FAM193B,BrC2
FAM229A,BrC2
FAM53C,BrC2
FAM90A1,BrC2
FANCG,BrC2
FARP1,BrC2
FBF1,BrC2
FBRS,BrC2
FBRSL1,BrC2
FBXL12,BrC2
FBXL19,BrC2
FBXO41,BrC2
FBXO46,BrC2
FBXW4,BrC2
FCHSD1,BrC2
FEM1A,BrC2
FGD1,BrC2
FGF17,BrC2
FHDC1,BrC2
FKRP,BrC2
FLII,BrC2
FLRT3,BrC2
FNTB,BrC2
FOXK2,BrC2
FRMD6,BrC2
FSBP,BrC2
FTO,BrC2
FUS,BrC2
FXR2,BrC2
GABBR1,BrC2
GAK,BrC2
GALNS,BrC2
GALT,BrC2
GAR1,BrC2
GARNL3,BrC2
GBA2,BrC2
GBF1,BrC2
GDI1,BrC2
GEMIN4,BrC2
GEMIN8,BrC2
GET4,BrC2
GGA1,BrC2
GGA3,BrC2
GGT7,BrC2
GLI2,BrC2
GLI3,BrC2
GLT8D2,BrC2
GLTSCR1,BrC2
GMEB2,BrC2
GNA11,BrC2
GNB3,BrC2
GNB5,BrC2
GNL1,BrC2
GOLGA6L9,BrC2
GOLGA8A,BrC2
GPATCH1,BrC2
GPR179,BrC2
GPR35,BrC2
GRIPAP1,BrC2
GRK2,BrC2
GSK3A,BrC2
GTF2F1,BrC2
GTF3C5,BrC2
GTPBP1,BrC2
GTPBP3,BrC2
GUCA1B,BrC2
HARS2,BrC2
HAUS5,BrC2
HAUS8,BrC2
HCN3,BrC2
HDAC10,BrC2
HDAC6,BrC2
HDAC7,BrC2
HDGF,BrC2
HEPH,BrC2
HEXIM1,BrC2
HGS,BrC2
HNRNPM,BrC2
HPS1,BrC2
HPS4,BrC2
HPSE2,BrC2
HSD17B1,BrC2
IER5,BrC2
IFT122,BrC2
IFT172,BrC2
IGHMBP2,BrC2
IKBKB,BrC2
IKBKE,BrC2
IL11RA,BrC2
IL17RD,BrC2
IL23A,BrC2
ILF3,BrC2
INCENP,BrC2
ING5,BrC2
INO80B,BrC2
INPPL1,BrC2
INTS1,BrC2
INTS11,BrC2
INTS4,BrC2
